,관리번호,자치구_x,와이파이명,도로명주소,상세주소,설치위치(층),설치유형,설치기관,서비스구분,망종류,설치년도,실내외구분,wifi접속환경,X좌표,Y좌표,작업일자,자치구_y,AP별 이용량(GB),이용량
8447,WF131730,마포구,마포농수산물시장,마포구월드컵로235,성산2동 533-1(수산물직판장간판위),,2. 전통시장,서울시(AP),공공WiFi,자가망U무선망,2019,실외,,126.89871,37.565853,2021-12-14 10:57,마포구,342.96 GB,342.96 
8448,WF131739,마포구,망원시장,마포구 망원로8길 36,도화동 540 555-1(혜성유통 매장위기둥),,2. 전통시장,서울시(AP),공공WiFi,자가망U무선망,2019,실외,,126.90622,37.55594,2021-12-14 10:57,마포구,497.18 GB,497.18 
8449,WF131740,마포구,망원시장,마포구 망원로8길 36,도화동 540 555-1(성미건어물기둥),,2. 전통시장,서울시(AP),공공WiFi,자가망U무선망,2019,실외,,126.90622,37.55594,2021-12-14 10:57,마포구,293.32 GB,293.32 
8450,WF131741,마포구,망원시장,마포구 포은로8길 21,도화동 540 555-1(성미건어물기둥),,2. 전통시장,서울시(AP),공공WiFi,자가망U무선망,2019,실외,,126.906,37.55661,2021-12-14 10:57,마포구,367.55 GB,367.55 
8451,WF131742,마포구,망원시장,마포구 포은로8길 21,도화동 540 555-1(에녹농산물위기둥),,2. 전통시장,서울시(AP),공공WiFi,자가망U무선망,2019,실외,,126.906,37.55661,2021-12-14 10:57,마포구,641.35 GB,641.35 
8452,WF131784,서대문구,백련시장,서대문구 증가로 133,남가좌동 345-4(우리은행나가좌동지점앞주정차CCTV),,2. 전통시장,서울시(AP),공공WiFi,자가망U무선망,2019,실외,,126.922714,37.577435,2021-12-14 10:57,서대문구,365.37 GB,365.37 
8453,WF131954,서대문구,연희사거리,서대문구 연희맛로 28,연희동 131-1(빵굼터앞 CCTV 남측),,1. 주요거리,서울시(AP),공공WiFi,자가망U무선망,2019,실외,,126.930336,37.567265,2021-12-14 10:57,서대문구,274.75 GB,274.75 
8454,WF132033,성북구,모랫말근린공원,성북구 화랑로1길 46,월곡1동 90-206,,3. 공원(하천),서울시(AP),공공WiFi,자가망U무선망,2019,실외,,127.03303,37.605034,2021-12-14 10:57,성북구,451.69 GB,451.69 
8455,WF132039,성북구,돌곶이시장(석관황금시장),성북구 한천로73길 26,석관동 281-9(이모네반찬 옆 기둥),,2. 전통시장,서울시(AP),공공WiFi,자가망U무선망,2019,실외,,127.06202,37.609707,2021-12-14 10:57,성북구,236.50 GB,236.50 
8456,WF132041,성북구,돌곶이시장(석관황금시장),성북구 한천로73길 26,석관동 281-9(농협안심축산물 옆 기둥),,2. 전통시장,서울시(AP),공공WiFi,자가망U무선망,2019,실외,,127.06272,37.60979,2021-12-14 10:57,성북구,248.51 GB,248.51 
8457,WF132042,성북구,솔숲어린이공원,성북구 서경로 16-3,정릉1동 170-10,,3. 공원(하천),서울시(AP),공공WiFi,자가망U무선망,2019,실외,,127.01488,37.605114,2021-12-14 10:57,성북구,116.44 GB,116.44 
8458,WF132043,성북구,솔향기어린이공원,성북구 삼양로9길 21,길음1동 1190,,3. 공원(하천),서울시(AP),공공WiFi,자가망U무선망,2019,실외,,127.02187,37.6081,2021-12-14 10:57,성북구,300.87 GB,300.87 
8459,WF132047,성북구,종암어린이공원,성북구 종암로24가길 53,종암동 104-6,,3. 공원(하천),서울시(AP),공공WiFi,자가망U무선망,2019,실외,,127.03737,37.60013,2021-12-14 10:57,성북구,"1,416.50 GB","1,416.50 "
8460,WF132048,성북구,한울어린이공원,성북구 정릉로27길 41,정릉2동169-6,,3. 공원(하천),서울시(AP),공공WiFi,자가망U무선망,2019,실외,,127.013664,37.605797,2021-12-14 10:57,성북구,263.91 GB,263.91 
8461,WF132117,양천구,마장어린이공원,양천구 목동중앙서로3길 22,목4동 791-22,,3. 공원(하천),서울시(AP),공공WiFi,자가망U무선망,2019,실외,,126.86483,37.533463,2021-12-14 10:57,양천구,36.38 GB,36.38 
8462,WF132154,영등포구,여의도한강공원,여의도동84-9,여의도한강공원물빛광장편의점옥상,,3. 공원(하천),서울시(AP),공공WiFi,자가망U무선망,2019,실외,,126.92797,37.530785,2021-12-14 10:57,영등포구,136.41 GB,136.41 
8463,WF132155,영등포구,여의도한강공원,서울특별시영등포구여의동로330,여의도한강공원안내센터옥상,,3. 공원(하천),서울시(AP),공공WiFi,자가망U무선망,2019,실외,,126.93357,37.526424,2021-12-14 10:57,영등포구,33.29 GB,33.29 
8464,WF132227,용산구,숙대입구역7번출구,용산구 한강대로 285,숙대입구역 7번출구,,1. 주요거리,서울시(AP),공공WiFi,자가망U무선망,2019,실외,,126.97212,37.543804,2021-12-14 10:57,용산구,697.53 GB,697.53 
8465,WF132234,용산구,용문시장,용산구 새창로 109,효창원로 42길 38-3 (용문동),,2. 전통시장,서울시(AP),공공WiFi,자가망U무선망,2019,실외,,126.96045,37.53755,2021-12-14 10:57,용산구,424.91 GB,424.91 
8466,WF132240,용산구,이촌종합시장,용산구 이촌로65가길 91,이촌로75길 16-9 (용강중학교앞),,2. 전통시장,서울시(AP),공공WiFi,자가망U무선망,2019,실외,,126.975426,37.520924,2021-12-14 10:57,용산구,289.94 GB,289.94 
8467,WF132242,용산구,후암시장,용산구 후암로 47,한강대로 104길 72~47 후암시장(교지1-41),,2. 전통시장,서울시(AP),공공WiFi,자가망U무선망,2019,실외,,126.9772,37.550262,2021-12-14 10:57,용산구,291.21 GB,291.21 
8468,WF140001,강북구,북서울꿈의숲방문자센터,강북구 번동 92,2층 다목적실,2,4. 문화관광체육시설,서울시(AP),공공WiFi,임대망,2020,실내,,127.040665,37.62204,2021-12-14 10:57,강북구,35.33 GB,35.33 
8469,WF140002,강북구,북서울꿈의숲방문자센터,강북구 번동 92,1층 전시실,1,4. 문화관광체육시설,서울시(AP),공공WiFi,임대망,2020,실내,,127.040665,37.62204,2021-12-14 10:57,강북구,59.70 GB,59.70 
8470,WF140004,강북구,북서울꿈의숲방문자센터,강북구 번동 92,1층 카페,1,4. 문화관광체육시설,서울시(AP),공공WiFi,임대망,2020,실내,,127.040665,37.62204,2021-12-14 10:57,강북구,15.98 GB,15.98 
8471,WF140005,강북구,북서울꿈의숲방문자센터,강북구 번동 92,2층 다목적실,2,4. 문화관광체육시설,서울시(AP),공공WiFi,임대망,2020,실내,,127.040665,37.62204,2021-12-14 10:57,강북구,49.80 GB,49.80 
8472,WF140006,강북구,북서울꿈의숲방문자센터,강북구 번동 92,2층 회의실,2,4. 문화관광체육시설,서울시(AP),공공WiFi,임대망,2020,실내,,127.040665,37.62204,2021-12-14 10:57,강북구,33.35 GB,33.35 
8473,WF140007,강북구,북서울꿈의숲방문자센터,강북구 번동 92,1층 안내소,1,4. 문화관광체육시설,서울시(AP),공공WiFi,임대망,2020,실내,,127.040665,37.62204,2021-12-14 10:57,강북구,33.60 GB,33.60 
8474,WF140008,강북구,북서울꿈의숲방문자센터,강북구 번동 92,1층 미아보호소,1,4. 문화관광체육시설,서울시(AP),공공WiFi,임대망,2020,실내,,127.040665,37.62204,2021-12-14 10:57,강북구,709.33 GB,709.33 
8475,WF140009,강북구,북서울꿈의숲방문자센터,강북구 번동 92,2층 사무실,2,4. 문화관광체육시설,서울시(AP),공공WiFi,임대망,2020,실내,,127.040665,37.62204,2021-12-14 10:57,강북구,384.87 GB,384.87 
8476,WF140010,강북구,북서울꿈의숲방문자센터,강북구 번동 92,1층 모유수유실,1,4. 문화관광체육시설,서울시(AP),공공WiFi,임대망,2020,실내,,127.040665,37.62204,2021-12-14 10:57,강북구,132.15 GB,132.15 
8477,WF140012,광진구,광나루시민안전체험관,광진구 능동로 238,1층 안내데스크 앞,,7-3. 커뮤니티 - 지역,서울시(AP),공공WiFi,임대망,2020,실내,,127.07718,37.551456,2021-12-14 10:57,광진구,81.69 GB,81.69 
8478,WF140013,광진구,광나루시민안전체험관,광진구 능동로 238,1층 출입문 왼쪽,,7-3. 커뮤니티 - 지역,서울시(AP),공공WiFi,임대망,2020,실내,,127.07718,37.551456,2021-12-14 10:57,광진구,29.96 GB,29.96 
8479,WF140014,광진구,광나루시민안전체험관,광진구 능동로 238,1층 출입문 오른쪽 전화박스 앞,,7-3. 커뮤니티 - 지역,서울시(AP),공공WiFi,임대망,2020,실내,,127.07718,37.551456,2021-12-14 10:57,광진구,25.76 GB,25.76 
8480,WF140015,광진구,광나루시민안전체험관,광진구 능동로 238,지하1층 라이드영상관 앞,,7-3. 커뮤니티 - 지역,서울시(AP),공공WiFi,임대망,2020,실내,,127.07718,37.551456,2021-12-14 10:57,광진구,66.58 GB,66.58 
8481,WF140016,광진구,광나루시민안전체험관,광진구 능동로 238,지하1층 중앙통제실,,7-3. 커뮤니티 - 지역,서울시(AP),공공WiFi,임대망,2020,실내,,127.07718,37.551456,2021-12-14 10:57,광진구,80.56 GB,80.56 
8482,WF140017,광진구,광나루시민안전체험관,광진구 능동로 238,1층 엘리베이터 앞,,7-3. 커뮤니티 - 지역,서울시(AP),공공WiFi,임대망,2020,실내,,127.07718,37.551456,2021-12-14 10:57,광진구,40.60 GB,40.60 
8483,WF140018,광진구,광나루시민안전체험관,광진구 능동로 238,1층 사물함 앞,,7-3. 커뮤니티 - 지역,서울시(AP),공공WiFi,임대망,2020,실내,,127.07718,37.551456,2021-12-14 10:57,광진구,49.26 GB,49.26 
8484,WF140019,광진구,광나루시민안전체험관,광진구 능동로 238,2층 응급처치실습실 앞,,7-3. 커뮤니티 - 지역,서울시(AP),공공WiFi,임대망,2020,실내,,127.07718,37.551456,2021-12-14 10:57,광진구,21.64 GB,21.64 
